heee here
身手 身手
伸手 伸手
厉害 厉害
国王 国王
王 王
her her
she she
he he
hi he
good good
help help
hello help
aair air
bue blue
bluue blue
aiir air
air air
sky sky
moon moon
sun sun
day day
data day
类似 类似
类比 比
人类 人
师傅 师傅
徒弟 徒弟
大师 大师
剑术 剑术
清朝 清楚
ox ox
ok ox
look look
life life
like like
llive like
wear wear
weak weak
weman weak
woman woman
外面 外面
里面 里面
这边 这边
那边 那边
nine nine
没有 没有
now now
go go
man man
江湖 江湖
live live
happy happy
death death
dead dead
武侠 武侠
无所谓 所谓
吴所谓 所谓
为什么 为什么
goood gold
nice nine
peoople people
无家可归 无可
无敌 无敌
金庸 金庸
是谁 是谁
你好 你好
我 我
we we
wo who
哈啊哈 哈哈
